original_value,normalized_value,reason
ukraine,Ukraine,ISO match
russia,Russia,ISO match
germany,Germany,ISO match
germany,Germany,ISO match
germany,Germany,ISO match
united kingdom,United Kingdom,ISO match
united kingdom,United Kingdom,ISO match
united kingdom,United Kingdom,ISO match
europe (region),,Region ignored
europe (region),,Region ignored
europe (region),,Region ignored
not attributed,Unknown,Unknown keyword
china,China,ISO match
united states,USA,ISO match
china,China,ISO match
china,China,ISO match
united states,USA,ISO match
mexico,Mexico,ISO match
not attributed,Unknown,Unknown keyword
canada,Canada,ISO match
not attributed,Unknown,Unknown keyword
france,France,ISO match
unknown,Unknown,Unknown keyword
germany,Germany,ISO match
germany,Germany,ISO match
germany,Germany,ISO match
germany,Germany,ISO match
germany,Germany,ISO match
russia,Russia,ISO match
united states,USA,ISO match
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
chile,Chile,ISO match
china,China,ISO match
germany,Germany,ISO match
germany,Germany,ISO match
not attributed,Unknown,Unknown keyword
turkey,Turkey,ISO match
south asia (region),,Region ignored
South Asia (region),Unknown,No valid country found
united states,USA,ISO match
united states,USA,ISO match
united states,USA,ISO match
united states,USA,ISO match
united states,USA,ISO match
united states,USA,ISO match
unknown,Unknown,Unknown keyword
namibia,Namibia,ISO match
unknown,Unknown,Unknown keyword
china,China,ISO match
cambodia,Cambodia,ISO match
not available,Unknown,Unknown keyword
south africa,South Africa,ISO match
united states,USA,ISO match
china,China,ISO match
united states,USA,ISO match
unknown,Unknown,Unknown keyword
serbia,Serbia,ISO match
serbia,Serbia,ISO match
serbia,Serbia,ISO match
serbia,Serbia,ISO match
serbia,Serbia,ISO match
serbia,Serbia,ISO match
serbia,Serbia,ISO match
canada,Canada,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
argentina,Argentina,ISO match
not attributed,Unknown,Unknown keyword
turkey,Turkey,ISO match
turkey,Turkey,ISO match
new zealand,New Zealand,ISO match
unknown,Unknown,Unknown keyword
southeast asia (region),,Region ignored
southeast asia (region),,Region ignored
southeast asia (region),,Region ignored
southeast asia (region),,Region ignored
Southeast Asia (region);Southeast Asia (region);Southeast Asia (region);Southeast Asia (region),Unknown,No valid country found
china,China,ISO match
israel,Israel,ISO match
united states,USA,ISO match
iran,Iran,ISO match
 islamic republic of,,Ignored (no match)
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
germany,Germany,ISO match
saudi arabia,Saudi Arabia,ISO match
iran,Iran,ISO match
 islamic republic of,,Ignored (no match)
indonesia,Indonesia,ISO match
philippines,Philippines,ISO match
chile,Chile,ISO match
italy,Italy,ISO match
portugal,Portugal,ISO match
hungary,Hungary,ISO match
slovenia,Slovenia,ISO match
taiwan,Taiwan,ISO match
france,France,ISO match
united kingdom,United Kingdom,ISO match
united kingdom,United Kingdom,ISO match
vietnam,Vietnam,ISO match
vietnam,Vietnam,ISO match
united states,USA,ISO match
united states,USA,ISO match
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
ukraine,Ukraine,ISO match
russia,Russia,ISO match
russia,Russia,ISO match
ukraine,Ukraine,ISO match
russia,Russia,ISO match
russia,Russia,ISO match
united states,USA,ISO match
united states,USA,ISO match
united states,USA,ISO match
not available,Unknown,Unknown keyword
not available,Unknown,Unknown keyword
not available,Unknown,Unknown keyword
unknown,Unknown,Unknown keyword
turkey,Turkey,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
spain,Spain,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
russia,Russia,ISO match
ukraine,Ukraine,ISO match
denmark,Denmark,ISO match
russia,Russia,ISO match
croatia,Croatia,ISO match
unknown,Unknown,Unknown keyword
united kingdom,United Kingdom,ISO match
unknown,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
canada,Canada,ISO match
canada,Canada,ISO match
not attributed,Unknown,Unknown keyword
spain,Spain,ISO match
not attributed,Unknown,Unknown keyword
afghanistan,Afghanistan,ISO match
pakistan,Pakistan,ISO match
afghanistan,Afghanistan,ISO match
pakistan,Pakistan,ISO match
russia,Russia,ISO match
japan,Japan,ISO match
japan,Japan,ISO match
china,China,ISO match
argentina,Argentina,ISO match
argentina,Argentina,ISO match
argentina,Argentina,ISO match
argentina,Argentina,ISO match
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
germany,Germany,ISO match
not attributed,Unknown,Unknown keyword
united kingdom,United Kingdom,ISO match
russia,Russia,ISO match
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
pakistan,Pakistan,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
unknown,Unknown,Unknown keyword
australia,Australia,ISO match
unknown,Unknown,Unknown keyword
not available,Unknown,Unknown keyword
not available,Unknown,Unknown keyword
southeast asia (region),,Region ignored
 not available,Unknown,Unknown keyword
costa rica,Costa Rica,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
not attributed,Unknown,Unknown keyword
kazakhstan,Kazakhstan,ISO match
uzbekistan,Uzbekistan,ISO match
kyrgyzstan,Kyrgyzstan,ISO match
kyrgyzstan,Kyrgyzstan,ISO match
kyrgyzstan,Kyrgyzstan,ISO match
hungary,Hungary,ISO match
hungary,Hungary,ISO match
hungary,Hungary,ISO match
india,India,ISO match
india,India,ISO match
india,India,ISO match
greece,Greece,ISO match
greece,Greece,ISO match
greece,Greece,ISO match
turkmenistan,Turkmenistan,ISO match
turkmenistan,Turkmenistan,ISO match
turkmenistan,Turkmenistan,ISO match
uzbekistan,Uzbekistan,ISO match
uzbekistan,Uzbekistan,ISO match
uzbekistan,Uzbekistan,ISO match
armenia,Armenia,ISO match
armenia,Armenia,ISO match
armenia,Armenia,ISO match
china,China,ISO match
china,China,ISO match
china,China,ISO match
ukraine,Ukraine,ISO match
ukraine,Ukraine,ISO match
ukraine,Ukraine,ISO match
uzbekistan,Uzbekistan,ISO match
uzbekistan,Uzbekistan,ISO match
uzbekistan,Uzbekistan,ISO match
kazakhstan,Kazakhstan,ISO match
kazakhstan,Kazakhstan,ISO match
kazakhstan,Kazakhstan,ISO match
tajikistan,Tajikistan,ISO match
tajikistan,Tajikistan,ISO match
tajikistan,Tajikistan,ISO match
tajikistan,Tajikistan,ISO match
russia,Russia,ISO match
united states,USA,ISO match
united states,USA,ISO match
unknown,Unknown,Unknown keyword
paraguay,Paraguay,ISO match
china,China,ISO match
spain,Spain,ISO match
spain,Spain,ISO match
not attributed,Unknown,Unknown keyword
united states,USA,ISO match
unknown,Unknown,Unknown keyword
united states,USA,ISO match
united states,USA,ISO match
